id,nama,latitude,longitude,htm_weekday,htm_weekend,deskripsi,image,image2,image3,url_maps,alamat,operating_hours,rating,kategori,url_tiket,akesibilitas,fasilitas,type,akses,dataran,weather,jeniswisata,jumlahrating,anak,lansia,descitinerary,isnight
94,Taman Bunga Amarilis,-7.8563245,110.4991167,10000,10000,"Taman Bunga Amarlis dapat dikatakan wisata tahunan, karena bunga mekar setiap tahun. Namun, jangka mekarnya sangat pendek, sehingga pengunjung harus segera datang ketika mekar. Dan dari tahun ke tahun, kondisi taman bunga sudah semakin baik. Jalan setapak yang sudah rata dengan semen telah disediakan. Sehingga, pengunjung tidak perlu khawatir becek atau kotor karena tanah. Taman pun telah dibentuk dengan kotak-kotak yang membuatnya tampak tertata rapi. Taman bunga telah dilengkapi dengan jalan setapak yang membantu akses pengunjung lebih dekat dengan bunga. Jadi, angle ketika berfoto lebih terlihat indah. Taman bunga juga dibentuk sehingga tidak monoton hanya satu lahan seperti sawah.",https://lh5.googleusercontent.com/p/AF1QipM3kTJsg0vX22zCKXNM2j-Bu1plioa3z3vR71NT=w408-h543-k-no,https://img.harianjogja.com/posts/2020/10/30/1053945/kebun-bunga-amarilis.jpg,https://static.republika.co.id/uploads/images/inpicture_slide/turis-berfoto-di-hamparan-bunga-di-kebun-keukenhof-belanda-_170331091411-579.jpg,https://goo.gl/maps/nfaQeSCHHikmTUxi6,"4FVX+FJH, Ngasemayu, Salam, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862",Senin-Minggu 06.00-18.00,4.2,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},rekreasi alam,1641,yes,yes,Menikmati keindahan bunga Amarilis,no
95,Tegaldowo Puspa Gading Park,-7.8656715,110.3228654,10000,10000,"Satu lagi obyek wisata alternatif karya dari warga hadir di Kabupaten Bantul, destinasi baru tersebut telah menjadi viral di media sosial (medsos) namanya Taman Puspa Gading berlokasi di Dusun Tegaldowo, Dukuh Grojogan, Kecamatan Bantul, Bantul, DIY. Taman Puspa Gading berada di pinggiran sungai Bedog, selain berupa taman untuk berswafoto berlatar belakang hamparan sawah dengan berhiaskan patung kadal raksasa dan jembatan gantung yang membentang di atas sungai. Taman Puspa Gading juga memiliki beberapa wahana permainan anak, diantaranya kolam renang, mandi bola, terapi ikan, foto dengan badut kelinci, motor apv, menangkap ikan, dan wahana melukis.",https://lh5.googleusercontent.com/p/AF1QipM6HD23kRd5wh5aQjZv2olSNPOKM0vKj-BDw5SM=w408-h306-k-no,https://sikidang.com/wp-content/uploads/fasilitas-di-taman-puspa-gading.jpg,https://pariwisata-arsip.bantulkab.go.id/filestorage/berita/2020/11/tn610/tn610_taman%20puspa.jpg,https://goo.gl/maps/ndidGPRsatTgbW6H7,"48PF+FCG, Jl. Grujugan, Grujugan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751",Senin-Minggu 08.00-18.00,4.4,Wisata Buatan,,universal,,outdoor,mudah,rendah,{current_weather},rekreasi,1635,yes,yes,Rekreasi di Tegaldowo Puspa Gading Park,no
96,Bendungan Kamijoro,-7.8787758,110.2662888,0,0,"Bendungan Kamijoro adalah bendungan yang menahan aliran sungai Progo dan mengalirkan sebagian airnya untuk pengairan areal persawahan. Tapi Bendungan Kamijoro bukan sembarang bendungan, di atas bendungan ini terbentang jembatan sepanjang 161 meter dengan lebar 3 meter. Jembatan Bendungan Kamijoro menghubungkan Bantul dan Kulon Progo tepatnya di Dusun Plambongan, Desa Triwidadi, Kecamatan Pajangan, Kabupaten Bantul dengan Dusun Kaliwiru, Desa Tuksono, Kecamatan Sentolo, Kulon Progo. Tanpa jembatan itu, orang harus memutar sangat jauh. Jembatan ini menjadi landscape baru untuk Bantul dan Kulon Progo. Bentuknya mirip jembatan Ampera di Palembang, lengkap dengan tiang yang menjulang tinggi dan hiasan tali-tali baja yang seolah menyangga beban jembatan. Bendungan ini jadi salah satu daya tarik wisata sekaligus mampu menggerakkan ekonomi mikro masyarakat di sekitarnya. Karena banyak yang berkunjung ke sana, masyarakat setempat memanfaatkan kesempatan itu untuk berjualan aneka jajanan dan makanan. Bendungan Kamijoro diresmikan langsung oleh Presiden Joko Widodo pada akhir 2019 lalu dan hingga kini jadi salah satu magnet wisata di Kulon Progo dan Bantul. Selain jembatan yang cantik, ada juga Taman Bendungan Kamijoro yang bisa jadi pilihan tempat untuk bersantai, duduk dan menikmati hembusan angin bendungan yang semilir. Taman ini berada di sisi barat atau masuk wilayah Kulon Progo terdapat taman. Dari sini kita bisa berfoto dengan background jembatan sekaligus bendungan yang megah. Sedang di sisi timur atau masuk wilayah Bantul terdapat sebuah sistem pengairan yang tertata canggih dan modern. Terdapat beberapa pintu-pintu air dengan kontrol elektrik. Di area taman, terdapat plaza yang besar untuk berfoto-foto, bersantai, ataupun berkumpul mengadakan kegiatan massal. Salah satu spot foto yang jadi favorit pengunjung adalah di bagian undakan tertinggi plaza dengan latar belakang tulisan “Bendungan Kamijoro.” Jika kamu ingin berkunjung ke sini membawa keluarga tak perlu khawatir, Bendungan Kamijoro sangat ramah keluarga. Tak jauh dari taman, terdapat aneka mainan anak-anak seperti ayunan, jungkat-jungkit, hingga papan luncur. Taman juga dikemas sebagai wisata edukasi bagi keluarga dengan ditanam banyak jenis buah-buahan seperti durian, kelengkeng, sawo, hingga jambu kristal. Area taman sudah dibangun untuk pedestrian sehingga sangat nyaman untuk berjalan kaki.",https://lh5.googleusercontent.com/p/AF1QipON9v7yCTVJ5IcPQtC4zIVfw0QlA01UI8e-ojyf=w408-h306-k-no,https://asset.kompas.com/crops/MNiwGk3wx97ybcwSaoCQZkgWa_c=/129x0:879x500/750x500/data/photo/2019/02/17/4288338791.jpg,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/jawapos/2019/02/dibangun-dekat-kali-progo-bendung-kamijoro-curi-perhatian-masyarakat_m_.jpg,https://goo.gl/maps/V2yv5wxc18AnMp5J6,"Jl. Sentolo - Brosot, Kaliwiru, Tuksono, Kec. Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55664",Senin-Minggu 07.00-18.00,4.3,Wisata Buatan,,universal,,outdoor,mudah,rendah,{current_weather},sungai rekreasi,1563,yes,yes,Bersantai dan menikmati bendungan di Kamijoro,no
97,Goa Kiskendo,-7.7471047,110.1310147,5000,5000,"Goa beserta kisah-kisah yang menyertainya menjadi daya tarik terbesar obyek wisata ini. Goa konon sudah ditemukan 2 abad silam. Para leluhur terdahulu memanfaatkan untuk mencari ketenangan batin dan pencerahan lewat bertapa. Goa itu sepanjang 1,5 kilometer goa di dalam bumi Bukit Menoreh. Ada dua percabangan besar di dalamnya dan mengarahkan pengunjung pada bekas tempat banyak orang di masa lalu dalam melakoni pertapaan.",https://lh5.googleusercontent.com/p/AF1QipPPVDQqLcxZXsQyOdJeY7YRpsnq5w_HbHUufPFl=w408-h306-k-no,https://geoparkjogja.jogjaprov.go.id/uploads/site/1680248579_be6756c58142bf1259c0.jpg,https://sikidang.com/wp-content/uploads/Jam-Buka-Gua-Kiskendo.jpg,https://goo.gl/maps/jiiqqU8nUoxEM8M5A,"743J+5C2, Jl. Raya Kaligesing, Sokomoyo, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",Senin-Minggu 09.00-17.00,4.3,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},rekreasi alam,1446,no,no,Menikmati alam di Goa Kiskendo,no
98,Pantai Ngrumput,-8.1403829,110.5831238,10000,10000,"Pantai Ngrumput memang kalah pamor dengan Parangtritis. Namun, urusan eksotisme, pantai yang terletak di Gunung Kidul itu tak bisa disepelekan begitu saja. Karena belum begitu dikenal oleh masyarakat, pantai ini seolah belum terjamah. Sehingga keindahan alamnya masih alami dan juga bersih karena terhindar dari sampah. Selain itu wisatawan yang datang kemari bisa merasakan memiliki pantai pribadi karena masih sepi pengunjung. Eksotisme pertama dari Pantai Ngrumput di mata para wisatawan adalah tepi pantainya. Seperti halnya Pantai Gunung Kidul lainnya yang terkenal dengan pasir putihnya, demikian juga dengan pantai ini. Istimewanya, banyak wisatawan tak ingin beranjak dari pasir tersebut hingga memilih untuk bermalam. Biasanya kegiatan camping itu selalu identik dengan mendaki gunung. Kali ini, tanpa perlu mendaki wisatawan dapat merasakan sensasi bermalam di bawah sinar rembulan. Kegiatan ini yang membuat Pantai Ngrumput ini makin popular di mata wisatawan.",https://lh5.googleusercontent.com/p/AF1QipM0tjss-R70v_VSAKXvouClXDOktZJ0UYnDbIjV=w408-h306-k-no,https://asset.kompas.com/crops/jiCLNdk-vC2Ks8pF29bohsiYuKA=/0x272:4128x3024/750x500/data/photo/2019/05/16/2091577561.jpg,https://rentalmobiljogja.id/wp-content/uploads/2019/11/Pantai-Ngrumput-cid.acid_-1020x680.jpg,https://goo.gl/maps/dk3Xa3Vm1AYH5Hgj7,"Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.6,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},pantai,1437,yes,no,Menikmati pantai dengan pasir putih di Pantai Ngrumput,yes
99,Pantai Ngedan,-8.1163418,110.4963362,5000,5000,"Pantai Ngeden atau Ngedan yang terletak di Desa Krambil Sawit. Tersembunyi di balik bukit karang, pantai cantik ini memberikan kesan eksklusif bagi pengunjungnya. Terletak agak terpencil, Pantai Ngeden menyimpan keindahan alam yang masih terjaga. Berkunjung kemari memang tidak terlalu mudah karena akses jalannya yang belum maksimal. Akan tetapi, hijaunya perbukitan serta birunya laut akan memanjakan wisatawan begitu tiba di lokasi.",https://lh5.googleusercontent.com/p/AF1QipPrVMtXVbhbGe9CVrdTT_MTPf-amgaL3PWPzTxi=w408-h272-k-no,https://mytrip123.com/wp-content/uploads/2019/06/alamat-pantai-ngeden.jpg,https://turisian.com/wp-content/uploads/2022/10/Pantai-Ngeden-Gunungkidul-DIY.jpeg,https://goo.gl/maps/UCvXoZnNpbfVzmNX9,"Krambil Sawit, Sapto Sari, Bedalo, Krambil Sawit, Kec. Saptosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871",Buka 24 Jam,4.4,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},pantai,1382,yes,no,Menikmati pantai indah yang tersembunyi,yes
100,Pantai Slili,-8.1449664,110.6028766,10000,10000,"Pantai Slili merupakan pantai kecil bagian selatan Kecamatan Tepus, Kabupaten Gunungkidul. Lokasinya tepat berada di antara Pantai Krakal dan Pantai Sadranan. Ketiganya hanya dipisahkan oleh bukit karang yang bisa dijelajahi. Salah satu yang populer dari Pantai Slili adalah posisinya. Slili diapit oleh dua bukit yang berbatasan langsung dengan pantai yang jauh lebih luas. Kedua bukit ini membuat area pantai menyerupai teluk berukuran mini. Pantai Slili dikenal memiliki spot-spot cantik untuk snorkeling. Begitu juga dengan Pantai Slili yang menjadi ‘tetangga’-nya. Lantai karangnya merupakan habitat yang baik untuk biota laut. Ada penyewaan alat snorkeling serta jasa instruktur snorkeling yang bisa dicoba jika berkunjung kemari.",https://lh5.googleusercontent.com/p/AF1QipMbEZY8sbojg8chZDlT_VfmUrql0H5P6AzJhw0N=w408-h306-k-no,https://rentalmotorjogja.org/wp-content/uploads/2018/12/@ajibontrans_sewamobil.jpg,https://titiksinggah.com/wp-content/uploads/2023/04/Fasilitas-Spot-Menarik-di-Pantai-Slili.jpg,https://goo.gl/maps/GpUcsqDR1rH6Exqz7,"Jalan Pantai Krakal, Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.5,Wisata Alam,,universal,,outdoor,mudah,tinggi,{current_weather},pantai,1343,yes,no,Menikmati keindahan pantai Slili,yes
101,Camera House Borobudur,-7.6244995,110.2027713,15000,15000,Camera House Borobudur ini rumah yang dibentuk menyerupai kamera DSLR berukuran raksasa. Rumah Kamera ini adalah museum yang menampilkan hasil lukisan Pak Tanggol dan terdapat studio foto yang unik serta menarik. Kamu dapat melihat lukisan-lukisan yang indah yang terdapat di Camera House Borobudur ini.,https://lh5.googleusercontent.com/p/AF1QipMsn8t-oNrtSzL10L0mRaIv3iFDC5TxC3w-nN6o=w408-h544-k-no,https://asset-2.tstatic.net/jogja/foto/bank/images/keunikan-rumah-kamera-borobudur-rumah-berbentuk-kamera-raksasa-di-magelang.jpg,https://visitmagelang.id/wp-content/uploads/2017/04/rumah-kamera-magelang-03.jpg,https://goo.gl/maps/wc7gVC9rWsNxjSZL8,"Majaksingi 8, Karang Bawang, Majaksingi, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553",Selasa-Minggu 08.00-17.00,4.1,Wisata Buatan,,universal,,indoor,mudah,rendah,{current_weather},rekreasi,1304,yes,yes,Mengunjungi bangunan yang unik di Camera House,no
102,Candi Kalasan,-7.767284,110.4723505,5000,5000,"Candi Kalasan adalah candi yang dipersembahkan untuk Dewi Tara yang dinding luarnya dilapisi semen kuno. Candi Budha tertua di Yogyakarta ini dibangun oleh Rakai Panangkaran, raja dari dinasti Syailendra yang juga mengkonsep pendirian Borobudur.",https://lh5.googleusercontent.com/p/AF1QipN8zZT7y8hnvdpPvXs5Jssaz20RKa0v5aWbxGWi=w408-h306-k-no,https://mytrip123.com/wp-content/uploads/2022/06/candi-kalasan.jpg,https://dolanyok.com/wp-content/uploads//Candi-Kalasan-Keren.jpg,https://goo.gl/maps/xhaBcTP8eY5GatjP6,"6FMC+3WQ, Jl. Raya Yogya - Solo, Suryatmajan, Danurejan, Daerah Istimewa Yogyakarta",Senin-Minggu 08.00-17.00,4.5,Wisata Budaya & Edukasi,,universal,,outdoor,mudah,rendah,{current_weather},candi,1291,yes,yes,Mengunjungi situs Candi Kalasan,no
103,Watu Goyang,-7.9274086,110.4120586,7000,7000,"Lantaran lokasi wisata berada di dataran tinggi tak terhalang apa pun, membuat wisatawan mudah menikmati keindahan Kota Jogja, dari atas bukit pula terlihat makam-makam para raja loh. Pemandangan alam hijau serta kegagahan gunung Merapi terlihat mempesona. Lanskap seperti itulah sangat cocok mengobati rasa penat maupun bosan setelah sobat dibuat sibuk oleh rutinitas sehari-hari.",https://lh5.googleusercontent.com/p/AF1QipO9PPwjDcVGUo02HSaOvmksp8Od3npFYajMNUUl=w408-h272-k-no,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2021/03/82602989_620496988776392_2682252932038066878_n.jpg,https://www.datawisata.com/wp-content/uploads/2019/10/Watu-Goyang-Bantul-katarin_zima.jpg,https://goo.gl/maps/7DuWUQa3sUjsbkx58,"Cempluk, Jl. Watu Goyang No.1, Griloyo, Mangunan, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Buka 24 Jam,4.4,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,1282,no,no,Menikmatik keindahan alam melalui Watu Goyang,yes
104,Pintoe Langit Dahromo,-7.913608,110.437783,5000,5000,"Pintu Langit Dahromo ini menyediakan berbagai spot selfie yang hitz dan instagramable dengan latar belakang panorama keindahan sebagian Kota Jogja yang istimewa. Adapun berbagai spot foto tersebut seperti spot foto rumah dengan bunga-bunga disekitarnya, pintu langit, gardu pandang yang berbentuk love, dan ada juga sayap capung.",https://lh5.googleusercontent.com/p/AF1QipNBZjguhunFs4aS1P-xn2MIxrhuRaoq6XCTynYn=w408-h302-k-no,https://sikidang.com/wp-content/uploads/Pintoe-Langit-Dahromo-Jogja.jpg,https://sikidang.com/wp-content/uploads/tips-berkunjung-ke-Pintoe-Langit-Dahromo.jpg,https://goo.gl/maps/1rU7zupZCJH14Wmc9,"Jl. Dahromo, Karang Asem, Muntuk, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Senin-Minggu 08.00-18.00,4.4,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,1266,no,no,Menikmati keindahan alam di Pintoe Langit Dahromo,no
105,Wana Tirta Mangrove Forests,-7.8933459,110.0198257,3000,3000,"Wana Tirta Mangrove merupakan salah satu tujuan baru terfavorit wisatawan di Yogyakarta atau lebih tepatnya di Pasirmendit, Kulon Progo. Awalnya, tempat wisata ini dibangun untuk melestarikan alam, namun kemudian banyak pengunjung yang menikmati hutan mangrove ini sebagai wisatawan. Untuk spot foto, ada jembatan Siapi-api atau jembatan bambu, ayunan, gazebo dan spot lainnya yang di hiasi dengan ornamen bunga. Selain menikmati pemandangan mangrove, pengunjung dapat menikmati tur dengan perahu disekitar area mangrove dan bermain canoe, seluruhnya tersedia dengan tambahan biaya dan dilengkapi dengan perlengkapan keamanan.",https://lh5.googleusercontent.com/p/AF1QipPNybXR8Mp09-Acs4ZO74eDNgi-ZqIWQRK3s-OY=w408-h306-k-no,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2020/03/282.jpg,https://jogjarafira.com/wp-content/uploads/2020/01/Hutan-Mangrove-Kulon-Progo-Jogja-Goa-1-1024x693.jpg,https://goo.gl/maps/DrWax9R7XLd353C38,"4249+MW8, Pasir Mendit, Jangkaran, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654",Buka 24 Jam,4.1,Wisata Alam,,,,outdoor,susah,rendah,{current_weather},sungai rekreasi,1212,no,no,Menikmati keindahan Mangrove,yes
106,Museum Sandi,-7.7845549,110.3711548,0,0,"Museum Sandi adalah museum satu-satunya yang menyimpan alat-alat untuk mengirim pesan rahasia. Museum ini juga merekam segala jenis persandian di Indonesia bahkan dunia, jadi jika anda yang suka memecahkan sandi maka museum ini adalah tempat yang cocok untuk anda kunjungi. Setiba anda di loby museum sandi akan disambut hangat oleh pengelola museum sandi, orang-orangnya ramah, baik dan legowo banget. Pada masa itu museum sandi ini adalah museum yang mengoleksi segala jenis benda dan alat untuk memecahkan sandi mulai dari telegraf, buku kode sandi sampai mesin-mesin sandi yang terbuat di Indonesia maupun luar negeri.",https://lh5.googleusercontent.com/p/AF1QipNkb5W4OvKHqbuUS5BfHKK6mGhURyUOox_KPX9-=w425-h240-k-no,https://gudeg.net/cni-content/uploads/modules/direktori/logo/20150811023411.jpg,https://ksmtour.com/media/images/articles12/museum-sandi-yogyakarta.jpg,https://goo.gl/maps/WbzsqryiHftyF4ov7,"Jl. Faridan M Noto No.21, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Selasa-Minggu 09.00-15.00,4.7,Wisata Budaya & Edukasi,,universal,,indoor,mudah,rendah,{current_weather},museum sejarah,1182,yes,yes,Mengunjungi Museum Sandi,no
107,Bukit Teletubbies,-7.8181275,110.511764,2000,2000,"Wisata satu ini merupakan wisata yang lokasinya berada di pedesaan. Bukit satu ini tepatnya berada di Desa Sumberharjo, Prambanan, Kabupaten Sleman. Meski berada di pedesaan, Bukit Teletubbies Jogja ini juga sama dengan wisata lain yang memiliki ciri khas dan keunikan tersendiri. Pemandangan yang ditawarkan kawasan perbukitan ini cukup enak dipandang. Plus, kamu juga mendapatkan foto bagus dengan latar belakang perbukitan yang hijau. Bukit ini diberi nama Teletubbies karena adanya gardu panjang yang lokasinya berada di atas. Gardu ini kebetulan lokasinya berada di di timur rumah Domes. Rumah di dekat gardu ini bentuknya setengah bulat dan mirip rumah di serial Teletubbies. Sehingga, rumah itu disebut rumah Teletubbies",https://lh5.googleusercontent.com/p/AF1QipPXen61MAeyIyJ6MTrPtkWu0RZ-H86gpeKDrUNB=w426-h240-k-no,https://antarejatour.com/wp-content/uploads/2019/09/Bukit-Teletubbies-sumber-ig-bayu0307.jpg,https://yogjo.com/wp-content/uploads/2019/11/bukit-teletubbies-735x400.jpg,https://goo.gl/maps/SaKHtypUfZu9JKcYA,"Sumberharjo, Candisari, Wukirharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Senin-Minggu 08.00-16.00,4.1,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},rekreasi alam,1173,yes,yes,Menikmati keindahan alam melalui Bukit Teletubies,no
108,Pantai Watulawang,-8.1535837,110.6177335,5000,5000,"Seperti halnya pantai-pantai lain di Gunung Kidul pantai ini banyak terdapat karang dan ombak yang besar, namun yang menjadikannya unik, terdapat karang yang cukup besar dan bisa digunakan untuk memandang ke arah lautan, warga sekitar atau pengelola membuat jembatan yang terbuat dari bambu yang digunakan untuk menyeberang ke karang agar pengunjung dapat menuju ke atas karang dengan aman. Suasana pantai ini masih tergolong sepi, dan banyak terdapat karang-karang besar di bibir pantai, bisa anda gunakan untuk foto-foto dengan teman, pacar, atau keluarga. Pasir pantai termasuk luas dengan warna putih kecokelatan, khas pasir pantai selatan jogja. Bersebalahan langsung dengan goa watulawang.",https://lh5.googleusercontent.com/p/AF1QipOB-55goPE57ySgfAvpLDRqPtjpHxIaqCPICa4o=w408-h306-k-no,https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/2022/09/01/3239824756.jpeg,https://i0.wp.com/penginapan.net/wp-content/uploads/pantai-watulawang.jpg?fit=610%2C398&ssl=1,https://goo.gl/maps/RKTyWVdoUYYKDYg49,"Pantai, Tepus, Kec. Tepus, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.6,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pantai,1166,yes,no,Mengunjungi pantai indah Watulawang,yes
109,Pakuwon Mall,-7.7588094,110.396699,0,0,"Mal modern dan luas dengan ratusan penyewa, termasuk department store & toko retail global.",https://lh5.googleusercontent.com/p/AF1QipORm8gLC2Hs7uVNThMJhG_xJfEsKtbimARPhj6t=w408-h284-k-no,https://media.suara.com/suara-partners/indotnesia/thumbs/653x367/2022/08/18/1-60c458694e584-pkwjt-hartonomalljogja.jpg,https://foto.kontan.co.id/dQ7U5gSEdKpKQksRVUIdvo1pE3U=/smart/2020/09/09/307272063p.jpg,https://goo.gl/maps/46NBh3prXPrZfWYk8,"Jl. Ring Road Utara, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Senin-Minggu 10.00-22.00,4.6,Wisata Belanja,,universal,,indoor,mudah,rendah,{current_weather},belanja,15000,yes,yes,Belanja dan rekreasi di Pakuwon Mall,yes
110,Candi Banyunibo,-7.7779014,110.4940734,5000,5000,"Candi Banyunibo adalah candi Buddha yang berada tidak jauh dari Candi Ratu Boko, yaitu di bagian sebelah timur dari Kota Yogyakarta ke arah Kota Wonosari. Candi ini terdiri atas satu candi induk yang menghadap ke barat dan enam candi perwara yang berbentuk stupa disusun berderet, tiga candi perwara di sisi selatan dan tiga candi perwara di sisi timur candi induk. Lokasinya yang dikelilingi oleh persawahan menjadikan candi Banyunibo sebagai salah satu alternatif tempat wisata yang wajib dikunjungi. Karena selain udara di sekitar candi yang masih alami, pengunjung juga bisa mempelajari tentang kekayaan keyakinan manusia Indonesia di masa lampau.",https://lh5.googleusercontent.com/p/AF1QipOjEJjpj0l0-CGkwDtSlBFMghJHUa_fZTdK5165=w408-h306-k-no,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Banyunibo_Temple%2C_2014-05-31_01.jpg/1200px-Banyunibo_Temple%2C_2014-05-31_01.jpg,https://sewamobiljogja.id/wp-content/uploads/2019/07/Candi-Banyunibo.jpg,https://goo.gl/maps/XSFXbK7wn5Rz3GQu7,"6FCV+RJP, Cepit, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Senin-Minggu 08.00-17.00,4.5,Wisata Budaya & Edukasi,,universal,,outdoor,mudah,rendah,{current_weather},candi,1151,yes,yes,Mengunjungi situs Candi Banyunibo,no
111,Pantai Nglolang,-8.1360048,110.562855,10000,10000,"Pantai ini sangat indah dengan pasir putih dan ombak yang bergulung-gulung dan menghempas karang ini masih terbilang sepi. Dan mengunjungi pantai yang masih sepi ini pastinya obat yang sangat manjur untuk menghilangkan kejenuhan. Setelah sehari-hari berkutat dengan kesibukan, deburan ombak yang menggulung-gulung dan menghempas karang, dan pemandangan cakrawala jauh di depan menjadi obat penetral suasana hati yang ampuh. Apalagi pemandangan di sekitar pantai ini dipercantik dengan dua tebing yang mengapit pantai.",https://lh5.googleusercontent.com/p/AF1QipPPGh7LpSXpb63R6HbTweAflkUmx4g35A6rEuxF=w408-h408-k-no,https://asset-2.tstatic.net/tribunnews/foto/bank/images/pantai-nglolang_20180930_143656.jpg,https://liburmulu.com/wp-content/uploads/2018/04/Pantai-Nglolang-adalah-salah-satu-pantai-tersembunyi-di-Yogyakarta-via-@luynf-800x533.jpg,https://goo.gl/maps/oh1bi2ikjHhXaXs49,"Jl. Sepanjang, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.3,Wisata Alam,,universal,,outdoor,mudah,tinggi,{current_weather},pantai,1123,yes,no,Menikmati pantai indah Pantai Nglolang,yes
112,Pantai Kuwaru,-7.989177883,110.2265599,10000,10000,Pantai Kuwaru terkenal dengan wisata yang terkesan santai dan murah.,https://lh5.googleusercontent.com/p/AF1QipOg61KWVubHzcBOAWnr4fuHhc6sbVTr0NV7fnvv=w408-h306-k-no,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2021/04/69599430_473388683245395_2624176319431660021_n.jpg,https://tempatwisataseru.com/wp-content/uploads/2019/09/Rimbunnya-Pohon-Cemara-di-Pantai-Kuwaru-via-Jogjakini.wordpresscom.jpg,https://goo.gl/maps/cRZucRJYbissLq4AA,"265G+JGF, Kawaru, Poncosari, Kec. Srandakan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55762",Buka 24 Jam,4.1,Wisata Alam,,universal,,outdoor,mudah,rendah,{current_weather},pantai,1109,yes,yes,Menikmati suasana Pantai Kuwaru,yes
113,Puncak Suroloyo,-7.646343961,110.1810727,5000,5000,"Selain cocok untuk menyaksikan keindahan matahari terbenam, Puncak Suroloyo juga terletak di ujung hamparan Pegunungan Menoreh yang membatasi Provinsi Jawa Tengah dan Daerah Istimewa Yogyakarta, tepatnya Kabupaten Kulon Progo dengan Magelang. Berada di Puncak Suroloyo seolah sedang berada di atap benteng raksasa yang berwarna hijau. Hal itu wajar karena Pegunungan Menoreh tampak memanjang bagai benteng yang membatasi Kabupaten Magelang dengan Kulon Progo. ",https://lh5.googleusercontent.com/p/AF1QipPh1VzVnD7xtSFte4bm6pgpZJVjrtDipeXCIRAW=w408-h306-k-no,https://niagatour.com/wp-content/uploads/2019/12/Puncak-suroloyo-@pendaki.yogyakarta.jpg,https://bacajogja.id/wp-content/uploads/2021/11/Puncak-Suroloyo1.jpg,https://goo.gl/maps/owwoDnUjFKUixj5i9,"Onggosoro, Giritengah, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah",Senin-Minggu 08.00-18.00,4.4,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,1105,no,no,Menikmati pemandangan alam melalui Puncak Suroloyo,no
